video_id,video_title,num_chapters,transcript_length
26ls5lNiijk,Relational Database Design – Full Course,28,371353
D5F8kp_azzw,Let's Build Pipeline Parallelism from Scratch – Tutorial,11,231694
4T3YlTSWa5s,How to stay curious as a dev in the AI hype era with Sumit Saha [Podcast #205],21,75812
I7_WXKhyGms,RAG & MCP Fundamentals – A Hands-On Crash Course,38,121908
66hDgWottdA,Learn Dynamic Programming with Animations – Full Course for Beginners,29,137958
2Kw3e-1vbBQ,Build your own The Backrooms horror game with Unreal Engine 5 & Blueprints – Full GameDev Tutorial,14,255299
58Tn2xB8kIE,The Most Important Skills Going Forward with CTO + Homebrew Maintainer Mike McQuaid [Podcast #204],13,115635
odP153inZUo,Build Your Own Kubernetes Operators with Go and Kubebuilder – Full Course,35,393080
3PD-vQbpwA8,Inside The World's Biggest Hackathon – Full Documentary on UC Berkeley's Cal Hacks,49,104085
7G9q_5q82hY,How to Benchmark Embedding Models On Your Own Data,9,235339
DzVm161M4Kk,First developer job at age 38 with lawyer turned software engineer Zubin Pratap [Podcast #203],12,101830
keTcXT145CI,React Performance Optimization Patterns Course,24,119882
tr5Fapv80Cw,Building Agentic AI Workloads – Crash Course,34,103260
WSsOXo07LeE,OAuth 2.0 Course for Beginners,14,69449
r36xQmTJe1c,"Music Production 101 – Master Sound Design, Mixing, and Mastering in FL Studio",35,119533
WKIjkxxNH0c,Build a Support Agent with Vercel AI SDK – Full Tutorial,16,124637
dSIVVX0vAsY,Unity 2D Pixel Art Game Tutorial,51,593550
Q7P20fHJlm4,Intro to Supabase – Full Tutorial for Beginners,43,284580
lIghF_OewYg,"The ""AI is going to replace devs"" hype is over – 22-year dev veteran Jason Lengstorf [Podcast #201]",26,89702
UIf-SlmMays,n8n Tutorial – Zero to Hero Course,16,272665
kRv2ElPNAdY,From RNNs to Transformers: The Complete Neural Machine Translation Journey,27,445892
BMt-qvrEcFY,Build Serverless AI Agents with Langbase,11,55047
VgBQ0yBSjfM,How to build your own learning path using Open Source with Kunal Kushwaha [Podcast #200],14,85835
mAFoROnOfHs,Git & GitHub Crash Course for Beginners [2026],35,95062
wu8npoU37cI,"Become an AI Researcher Course – LLM, Math, PyTorch, Neural Networks, Transformers",25,181683
21_I-12f5JE,NestJS Course for Beginners - Build Server-Side Applications,21,98026
g_3IKHG-rfA,Harvard CS50’s Intro to R Programming – Full University Course,8,634329
voPcxCFMbbM,How to teach yourself programming with GitHub's Andrea Griffiths [Podcast #199],12,98704
_coTZxZ-H5Q,Complete French Language Beginners Course – Learn A1 Level French,30,189668
nbsz6muQRT4,Learn CSS Flexbox in 2 Hours – Tutorial for Beginners,71,121711
GpxFF82I8Nk,When NOT to use AI in your hackathon project with MLH winners Cindy Cui and Alison Co [Podcast #198],9,72442
tdsQwuyS6DQ,"Create a Cute Room Portfolio with Blender, Three.js, JavaScript – Beginner Course",2,711880
626BcUO84og,JavaScript Clean Code Course – Fix Code Smells & Refactor,22,77015
KOutPbKc9UM,Intro to Backend Web Development – Node.js & Express Tutorial for Beginners,28,128115
G9JxuWk7BDA,Discrete Mathematics Course for Beginners,30,442655
GIZzRGYpCbM,n8n Course for Beginners – Build Complex Workflows & Master AI Integration,33,210861
Kt2E8nblvXU,Learn Vue.js – Tutorial for Beginners,25,119005
rgt5GPFgryI,Perfectionism holds new developers back with Abbey Perini [Podcast #196],10,87029
mjXLt97_Cr8,"Guitar Theory Course for Beginners – Learn Fretboard, Major Scale and Triads",35,41384
kb_scuDUHls,"Cryptography for Beginners - Full Python Course (SHA-256, AES, RSA, Passwords)",19,43139
yhtdkuw9mbM,Creative Web Development with Three.js and Blender – 3D Portfolio for Beginners,36,442802
